year,month,period,value,footnotes,latest
2023,January,M01,160152,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",False
2023,February,M02,160301,[{}],False
2023,March,M03,160824,[{}],False
2023,April,M04,160962,[{}],False
2023,May,M05,160707,[{}],False
2023,June,M06,161004,[{}],False
2023,July,M07,161209,[{}],False
2023,August,M08,161500,[{}],False
2023,September,M09,161550,[{}],False
2023,October,M10,161280,[{}],False
2023,November,M11,161866,[{}],False
2023,December,M12,161183,[{}],False
2024,January,M01,161152,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",False
2024,February,M02,160968,[{}],False
2024,March,M03,161466,[{}],False
2024,April,M04,161491,[{}],False
2024,May,M05,161083,[{}],False
2024,June,M06,161199,[{}],False
2024,July,M07,161266,[{}],False
2024,August,M08,161434,[{}],False
2024,September,M09,161864,[{}],False
2024,October,M10,161496,[{}],False
2024,November,M11,161141,[{}],True
2025,January,M01,163895,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]",True
