year,month,period,value,footnotes,latest
2023,January,M01,5719,[{}],False
2023,February,M02,5962,[{}],False
2023,March,M03,5866,[{}],False
2023,April,M04,5715,[{}],False
2023,May,M05,6117,[{}],False
2023,June,M06,5997,[{}],False
2023,July,M07,5904,[{}],False
2023,August,M08,6340,[{}],False
2023,September,M09,6347,[{}],False
2023,October,M10,6443,[{}],False
2023,November,M11,6262,[{}],False
2023,December,M12,6268,[{}],False
2024,January,M01,6124,[{}],False
2024,February,M02,6458,[{}],False
2024,March,M03,6429,[{}],False
2024,April,M04,6492,[{}],False
2024,May,M05,6649,[{}],False
2024,June,M06,6811,[{}],False
2024,July,M07,7163,[{}],False
2024,August,M08,7115,[{}],False
2024,September,M09,6834,[{}],False
2024,October,M10,6984,[{}],False
2024,November,M11,7145,[{}],True
2025,January,M01,6849,[{}],True
